Ident;OrdTerm;FoundIn;IcdResult;Term;FilterIn;FilterOut;TermCodif;TermNoBlank
905;Term1;Diccionario;;ABCESO TUBO OVARICO;NA;NA;0;1
905;Term1;AplicaStandard0;;ABSCESO TUBO OVARICO;\bAB(S?E?[CS]|CS)ESO?\b;ABSCESO;0;1
905;Term1;ResultStandard0;;ABSCESO TUBO OVARICO;NA;NA;0;1
905;Term1;ResultStandard1;;ABSCESO TUBO OVARICO;NA;NA;0;1
905;Term1;ResultStandard2;;ABSCESO TUBO OVARICO;NA;NA;0;1
9751;Term1;Diccionario;;ABDOME AGUDO;NA;NA;0;2
9751;Term1;ResultStandard0;;ABDOME AGUDO;NA;NA;0;2
9751;Term1;ResultStandard1;;ABDOME AGUDO;NA;NA;0;2
9751;Term1;AplicaStandard2;;ABDOME;\b(AGUD|CRONIC)[AO]S?\b;;0;2
9751;Term1;ResultStandard2;;ABDOME;NA;NA;0;2
9770;Term1;Diccionario;;ABDOMEN;NA;NA;0;3
9770;Term1;AplicaStandard0;;ABDOMEN;\bAB?DOMEN\b;ABDOMEN;0;3
9770;Term1;ResultStandard0;;ABDOMEN;NA;NA;0;3
9770;Term1;ResultStandard1;;ABDOMEN;NA;NA;0;3
9770;Term1;ResultStandard2;;ABDOMEN;NA;NA;0;3
4;Term1;Diccionario;R100;ABDOMEN AGUDO;NA;NA;0;4
5;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;2;5
33;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;3;6
47;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;4;7
89;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;5;8
100;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;6;9
133;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;7;10
179;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;8;11
182;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;9;12
185;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;10;13
215;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;11;14
217;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;12;15
221;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;13;16
229;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;14;17
230;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;15;18
234;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;16;19
251;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;17;20
252;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;18;21
259;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;19;22
264;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;20;23
267;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;21;24
268;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;22;25
271;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;23;26
287;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;24;27
302;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;25;28
303;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;26;29
308;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;27;30
312;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;28;31
317;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;29;32
388;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;30;33
573;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;31;34
752;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;32;35
1301;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;33;36
1481;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;34;37
1799;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;35;38
1830;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;36;39
1875;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;37;40
1929;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;38;41
2107;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;39;42
6434;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;40;43
6497;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;41;44
